"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products."
"Sort Order","Sort Order"
"Special Price:","Special Price:"
"Spend for order","Spend for order"
"Spend for order %s","Spend for order %s"
"Status","Status"
"Store view","Store view"
"TO: ","PARA: "
"TOTAL THE VALUE OF: ","TOTAL THE VALUE OF: "
"Template","Template"
"Template Information","Template Information"
"Template Manager","Template Manager"
"Template Name","Template Name"
"Template News","Template News"
"Template does not exist","Template does not exist"
"Template was successfully deleted","Template was successfully deleted"
"Template was successfully duplicated","Template was successfully duplicated"
"Template was successfully saved","Template was successfully saved"
"The balance must be greater than 0.","The balance must be greater than 0."
"The gift card has been updated successfully.","The gift card has been updated successfully."
"The maximum number of times to enter Gift Card code is %d!","El número máximo de intentos para ingresar el código Gift Card es %d!"
The maximum number of times to enter gift card code is %d!,"El número máximo de intentos para ingresar el código gift card es %d!"
"The template has been successfully saved and generated.","The template has been successfully saved and generated."
"There are no items matching this selection.","No hay items que concuerden su selección."
"There is no email address to send.","There is no email address to send."
"This Gift card already exists in your list.","Este Gift card ya existe en tu lista."
"This Gift card limits the number of users","This Gift card limits the number of users"
"This is your gift to give for %s","Este es tu regalo para %s"
"Title","Title"
"To","Para"
"To the value of","To the value of"
"Track the shipment","Track the shipment"
"Tracking Information","Tracking Information"
"Transaction History","Transaction History"
"Unable to find Gift Code to save","Unable to find Gift Code to save"
"Unable to find Template to duplicate","Unable to find Template to duplicate"
"Unable to find Template to save","Unable to find Template to save"
"Update","Update"
"Update Attributes","Update Attributes"
"Update Credit GiftCard data","Update Credit GiftCard data"
"Update Credit Giftcard","Update Credit Giftcard"
"Update giftcard data","Update giftcard data"
"Updated by %s","Updated by %s"
"Updated by Api user","Updated by Api user"
"Use Gift card to check out","Use Gift card to check out"
"Use gift card to checkout","Use gift card to checkout"
"Use money on customer credit","Use money on customer credit"
"Use money on my credit","Use money on my credit"
"Used","Usado"
"Used by %s %s","Usado por %s %s"
"View","View"
"View All","View All"
"View Order","View Order"
"View Order Detail","View Order Detail"
"View Shipment","View Shipment"
"View Store Credit Detail","View Store Credit Detail"
"View detail","Ver detalle"
"Visibility","Visibility"
"Websites","Websites"
"XML","XML"
"Yes","Yes"
"You are using","You are using"
"You have %d times for checking gift card code.","You have %d times for checking gift card code."
"You have %d times for enter gift card code.","You have %d times for enter gift card code."
"You have %d times remain to enter gift card code.","You have %d times remain to enter gift card code."
"You need to add your friend","You need to add your friend"
"Your Gift Card used to checkout has been updated successfully","Your Gift Card used to checkout has been updated successfully"
"Your Gift card has been removed successfully.","Your Gift card has been removed successfully."
"Your current balance is: ","Tu balance actual es: "
"Your gift card information has been removed successfully","Your gift card information has been removed successfully"
"customer store credit functionality","customer store credit functionality"
"dateinput","dateinput"
"day(s).","day(s)."
"day(s). Empty or zero is no limitation.","day(s). Empty or zero is no limitation."
"gift","gift"
"gift card is %s should not send an email, %s","gift card is %s should not send an email, %s"
"history giftcard","history giftcard"
"massCreate giftcard","massCreate giftcard"
"per page","per page"
"redeemToCredit","redeemToCredit"
"sendEmail","sendEmail"
